venta_id,cliente_id,producto_id,fecha_venta,cantidad,precio_unitario,total,canal,sucursal,vendedor
V0268,C106,P010,2026-08-10,3,954.36,2863.08,Web,Lima Centro,Dorita Paniagua Palomino
V0269,C062,P043,2026-01-18,10,1080.88,10902.64,Marketplace,Arequipa,Úrsula del Núñez
V0270,C112,P003,2025-06-22,7,462.83,3239.81,Web,Trujillo,Azucena Ortega Flor
V0271,C018,P017,2026-01-25,4,1820.62,7282.48,Call Center,Miraflores,Mirta Díaz-Luís
V0272,C001,P046,2026-08-01,1,1158.08,1158.08,Call Center,Trujillo,Nerea Vicens Torrent
V0273,C047,P007,2026-04-11,10,511.0,5110.0,Call Center,Trujillo,Vilma Bermudez Piquer
V0274,C097,P014,2026-02-08,9,967.52,8707.68,Call Center,Arequipa,Jesús Maximiano Coca Diez
V0275,C100,P046,2026-02-18,3,1710.72,5132.16,Tienda,Lima Centro,Ignacia Quiroga Bellido
V0276,C028,P033,2025-07-15,6,1602.7,9616.2,,Trujillo,Francisco Javier Gracia Mir
V0277,C082,P001,2025-10-16,3,945.98,2837.94,Call Center,Lima Centro,Pedro Eliseo Prats Linares
V0278,C078,P003,2026-05-25,7,1229.86,8609.02,Tienda,Trujillo,Reyna Parejo Viñas
V0279,C057,P001,2025-12-06,9,575.58,5240.57,Tienda,Lima Centro,Carina Espejo Alvarado
V0280,C047,P016,2025-08-02,3,178.25,534.75,Marketplace,Miraflores,Natalio del Bernal
V0281,C067,P001,2025-09-04,2,1838.76,3677.52,Call Center,Arequipa,Heliodoro Calderon Bustos
V0282,C105,P018,2026-07-02,4,912.24,3648.96,Web,Lima Centro,Maite Balaguer Amo
V0283,C065,P019,2026-04-10,2,1606.87,3213.74,Call Center,Trujillo,Luciana Blanco Calleja
V0284,C049,P037,2025-09-24,4,1516.16,6064.64,Web,Trujillo,Calixta Anselma Porta Mendoza
V0285,C015,P017,2025-09-12,4,1355.44,5421.76,Web,Arequipa,Rafa del Salazar
V0286,C032,P019,2026-02-13,6,156.68,940.08,Call Center,Miraflores,Blas Zurita Donaire
V0287,C999,P048,2025-06-26,4,1000.5,4002.0,Tienda,Miraflores,Natanael Palacios Morell
V0288,C026,P054,2026-05-16,10,715.27,7152.7,Marketplace,Lima Centro,Josefina Lladó Salgado
V0289,C098,P055,2025-08-06,1,1696.78,1696.78,Call Center,Trujillo,Carmen del Royo
V0290,C024,P049,2026-01-04,5,798.77,3993.85,Marketplace,Trujillo,Esmeralda del Tirado
V0291,C201,P035,2026-01-10,0,697.84,0.0,Web,Trujillo,Samuel de Sala
V0292,C041,P045,2025-10-12,0,1349.84,0.0,Call Center,Miraflores,Haydée Juan Cortés
V0293,C071,P017,2025-10-10,8,1917.26,15338.08,Marketplace,Arequipa,Aarón Zabala Cerezo
V0294,C047,P055,2025-10-26,8,363.88,2911.04,Web,Arequipa,Joel Juanito Aguirre Téllez
V0295,C103,P016,2026-04-04,7,396.15,2773.05,Web,Miraflores,Emperatriz Agullo Ros
V0296,C054,P032,2026-04-20,9,1070.3,9632.7,Web,Trujillo,Marc David Aguilar Pereira
V0297,C013,P045,2025-08-27,4,1628.57,6514.28,Call Center,Arequipa,Vera Ruiz Prat
V0298,C047,P024,2025-09-20,5,691.56,3457.8,Tienda,Miraflores,Pepito Porta Pineda
V0299,C100,P019,2025-09-08,9,977.55,8797.95,Call Center,Trujillo,Aníbal Roca-Heras
V0300,C081,P010,2026-01-01,6,846.52,5079.12,Web,Miraflores,Roxana Nélida Llabrés López
